DATE,NYMEX_PRICE
02-Jan,2.5257999897003174
03-Jan,2.6043999195098877
04-Jan,2.588399887084961
05-Jan,2.6085000038146973
08-Jan,2.576900005340576
09-Jan,2.650399923324585
10-Jan,2.600600004196167
11-Jan,2.673799991607666
12-Jan,2.669300079345703
16-Jan,2.660599946975708
17-Jan,2.653599977493286
18-Jan,2.6935999393463135
19-Jan,2.662100076675415
22-Jan,2.69350004196167
23-Jan,2.6912999153137207
24-Jan,2.68179988861084
25-Jan,2.7953999042510986
26-Jan,2.843400001525879
29-Jan,2.833899974822998
30-Jan,2.80679988861084
31-Jan,2.808199882507324
01-Feb,2.712899923324585
02-Feb,2.6600000858306885
05-Feb,2.7248001098632812
06-Feb,2.7427000999450684
07-Feb,2.815200090408325
08-Feb,2.8907999992370605
09-Feb,2.964200019836426
12-Feb,2.919600009918213
13-Feb,2.895900011062622
14-Feb,2.8101000785827637
15-Feb,2.823699951171875
16-Feb,2.8066000938415527
20-Feb,2.7314999103546143
21-Feb,2.705199956893921
22-Feb,2.752000093460083
23-Feb,2.68969988822937
26-Feb,2.762700080871582
27-Feb,2.746000051498413
28-Feb,2.6582999229431152
29-Feb,2.683799982070923
01-Mar,2.704200029373169
04-Mar,2.647200107574463
05-Mar,2.6064999103546143
06-Mar,2.663300037384033
07-Mar,2.694700002670288
08-Mar,2.640899896621704
11-Mar,2.6517999172210693
12-Mar,2.616499900817871
13-Mar,2.6851000785827637
14-Mar,2.7088000774383545
15-Mar,2.7269999980926514
18-Mar,2.7881999015808105
19-Mar,2.760699987411499
20-Mar,2.69569993019104
21-Mar,2.668800115585327
22-Mar,2.65339994430542
25-Mar,2.6786000728607178
26-Mar,2.621799945831299
27-Mar,2.598599910736084
28-Mar,2.615600109100342
01-Apr,2.6270999908447266
02-Apr,2.711899995803833
03-Apr,2.7323999404907227
04-Apr,2.741300106048584
05-Apr,2.7730000019073486
08-Apr,2.7286999225616455
09-Apr,2.677000045776367
10-Apr,2.7076001167297363
11-Apr,2.6598000526428223
12-Apr,2.6851000785827637
15-Apr,2.6542000770568848
16-Apr,2.6512999534606934
17-Apr,2.574700117111206
18-Apr,2.533900022506714
19-Apr,2.541300058364868
22-Apr,2.5604000091552734
23-Apr,2.579200029373169
24-Apr,2.5499000549316406
25-Apr,2.5504000186920166
26-Apr,2.5481998920440674
29-Apr,2.5313000679016113
30-Apr,2.513400077819824
01-May,2.451900005340576
02-May,2.4430999755859375
03-May,2.4433999061584473
06-May,2.461400032043457
07-May,2.46560001373291
08-May,2.476099967956543
09-May,2.47760009765625
10-May,2.4344000816345215
13-May,2.436800003051758
14-May,2.4200000762939453
15-May,2.423099994659424
16-May,2.443700075149536
17-May,2.486299991607666
20-May,2.4870998859405518
21-May,2.4623000621795654
22-May,2.43179988861084
23-May,2.411799907684326
24-May,2.413599967956543
28-May,2.4649999141693115
29-May,2.437000036239624
30-May,2.3694000244140625
31-May,2.363600015640259
03-Jun,2.2962000370025635
04-Jun,2.285900115966797
05-Jun,2.301100015640259
06-Jun,2.357599973678589
07-Jun,2.3517000675201416
10-Jun,2.4147000312805176
11-Jun,2.421299934387207
12-Jun,2.4407999515533447
13-Jun,2.486799955368042
14-Jun,2.470599889755249
17-Jun,2.4825000762939453
18-Jun,2.5208001136779785
20-Jun,2.5244998931884766
21-Jun,2.491499900817871
24-Jun,2.521399974822998
25-Jun,2.509399890899658
26-Jun,2.5374999046325684
27-Jun,2.547600030899048
28-Jun,2.516900062561035
01-Jul,2.6147000789642334
02-Jul,2.629699945449829
03-Jul,2.6342999935150146
05-Jul,2.602400064468384
08-Jul,2.5790998935699463
09-Jul,2.5236001014709473
10-Jul,2.518399953842163
11-Jul,2.518199920654297
12-Jul,2.5095999240875244
15-Jul,2.5136001110076904
16-Jul,2.4688000679016113
17-Jul,2.49399995803833
18-Jul,2.486799955368042
19-Jul,2.419100046157837
22-Jul,2.434799909591675
23-Jul,2.409899950027466
24-Jul,2.452399969100952
25-Jul,2.4711999893188477
26-Jul,2.4196999073028564
29-Jul,2.375
30-Jul,2.3368000984191895
31-Jul,2.4154999256134033
01-Aug,2.406399965286255
02-Aug,2.31850004196167
05-Aug,2.2985999584198
06-Aug,2.295799970626831
07-Aug,2.355600118637085
08-Aug,2.357800006866455
09-Aug,2.3396999835968018
12-Aug,2.4065001010894775
13-Aug,2.38919997215271
14-Aug,2.3682000637054443
15-Aug,2.3778998851776123
16-Aug,2.328700065612793
19-Aug,2.2634999752044678
20-Aug,2.263200044631958
21-Aug,2.2497000694274902
22-Aug,2.2634999752044678
23-Aug,2.2997000217437744
26-Aug,2.3480000495910645
27-Aug,2.2862000465393066
28-Aug,2.229099988937378
29-Aug,2.2839999198913574
30-Aug,2.251499891281128
03-Sep,2.2060000896453857
04-Sep,2.1575000286102295
05-Sep,2.1689000129699707
06-Sep,2.115000009536743
09-Sep,2.139400005340576
10-Sep,2.058000087738037
11-Sep,2.0917000770568848
12-Sep,2.118799924850464
13-Sep,2.0843000411987305
16-Sep,2.0968000888824463
17-Sep,2.136699914932251
18-Sep,2.1475000381469727
19-Sep,2.171999931335449
20-Sep,2.1614999771118164
23-Sep,2.1451001167297363
24-Sep,2.180500030517578
25-Sep,2.1602001190185547
26-Sep,2.1361000537872314
27-Sep,2.132699966430664
30-Sep,2.1317999362945557
01-Oct,2.1742000579833984
02-Oct,2.1821000576019287
03-Oct,2.2946999073028564
04-Oct,2.312700033187866
07-Oct,2.396199941635132
08-Oct,2.2971999645233154
09-Oct,2.276900053024292
