THE TABLE CHART
DATE,PLATTS_LOW,PLATTS_HIGH,PLATTS_AVERAGE, PLATTS_ADV
16-Aug,231.07,231.17,231.12
19-Aug,224.55,224.65,224.6
20-Aug,227.77,227.87,227.82
21-Aug,225.67,225.77,225.72
22-Aug,227.05,227.15,227.1
23-Aug,230.92,231.02,230.97
26-Aug,234.92,235.02,234.97
27-Aug,225.26,225.36,225.31
28-Aug,219.66,219.73,219.695
29-Aug,230.21,230.31,230.26
30-Aug,226.78,226.88,226.83
3-Sep,213.3,213.4,213.35
4-Sep,202.45,202.55,202.5
5-Sep,203.34,203.44,203.39
7-Sep,205.7,205.8,205.75
9-Sep,203.64,203.74,203.69
10-Sep,185.5,185.6,185.55
11-Sep,190.62,190.72,190.67
12-Sep,205.83,205.93,205.88
13-Sep,188.88,188.98,188.93
16-Sep,208.63,208.73,208.68
17-Sep,215.62,215.72,215.67
18-Sep,215.95,216.05,216
19-Sep,217.15,217.25,217.2
20-Sep,217.85,217.95,217.9
23-Sep,216.21,216.31,216.26
24-Sep,222.75,222.85,222.8
25-Sep,222.64,222.74,222.69
26-Sep,220.74,220.84,220.79
27-Sep,224.58,224.68,224.63
30-Sep,224.14,224.24,224.19
1-Oct,214.12,214.22,214.17
2-Oct,218.41,218.51,218.46
3-Oct,227.67,227.77,227.72
4-Oct,232.47,232.57,232.52
7-Oct,238.07,238.17,238.12
8-Oct,227.92,228.02,227.97
9-Oct,222.39,222.49,222.44
10-Oct,233.29,233.39,233.34
11-Oct,234.34,234.44,234.39
14-Oct,227.37,227.47,227.42
15-Oct,217.72,217.82,217.77
16-Oct,218.17,218.27,218.22
17-Oct,220.4,220.5,220.45
18-Oct,200.67,200.77,200.72
21-Oct,211.28,211.38,211.33
22-Oct,218.65,218.75,218.7
23-Oct,217.86,217.96,217.91
24-Oct,217.18,217.28,217.23
25-Oct,220.86,220.96,220.91
28-Oct,211.93,212.03,211.98
29-Oct,211.81,211.91,211.86
30-Oct,217.3,217.4,217.35
31-Oct,223.42,223.52,223.47
1-Nov,215.62,215.72,215.67
4-Nov,218.11,218.21,218.16
5-Nov,226.87,226.97,226.92
6-Nov,219.45,219.55,219.5
7-Nov,219.09,219.19,219.14
8-Nov,214.34,214.44,214.39
11-Nov,210.21,210.31,210.26
12-Nov,208.53,208.63,208.58
13-Nov,210.88,210.98,210.93
14-Nov,213.68,213.78,213.73
15-Nov,202.79,202.89,202.84
18-Nov,215.34,215.44,215.39
19-Nov,223.97,224.07,224.02
20-Nov,222.58,222.68,222.63
21-Nov,231.39,231.49,231.44
22-Nov,228.19,228.29,228.24
25-Nov,207.11,207.21,207.16
26-Nov,204.97,205.07,205.02
